task_id,task_num,primary_family,confidence,candidate_flags,n_train,n_test,n_arc_gen,n_examples,shape_relation,same_shape_examples,expand_examples,shrink_examples,mixed_examples,input_shape_modes,output_shape_modes,input_colors,output_colors,new_output_colors,input_color_list,output_color_list,new_output_color_list,all_identity,global_mapping_consistent,global_mapping,mapping_conflicts,fixed_geometric_transforms,local_3x3_score,local_3x3_conflicts,local_3x3_samples,input_nonzero_preserved_ratio,added_nonzero_cells,changed_cells,notes
task015,15,fill_enclosed_regions,medium,adds_new_color_preserves_input|local_3x3_consistent|new_output_colors,3,1,261,265,same_shape_variable_size,265,0,0,0,9x9:265,9x9:265,01268,0124678,47,"[0,1,2,6,8]","[0,1,2,4,6,7,8]","[4,7]",False,False,"{""0"":0,""1"":1,""2"":2,""6"":6,""8"":8}",1776,,1.0,0,4860,1.0,1776,1776,Same shape; input is mostly preserved while new fill or marking cells are added.
task016,16,global_color_remap,high,global_color_remap|mapping_consistent|local_3x3_consistent,4,1,262,267,same_shape_variable_size,267,0,0,0,3x3:267,3x3:267,12345689,12345689,,"[1,2,3,4,5,6,8,9]","[1,2,3,4,5,6,8,9]",[],False,True,"{""1"":5,""2"":6,""3"":4,""4"":3,""5"":1,""6"":2,""8"":9,""9"":8}",0,,1.0,0,540,0.0,0,2403,Same shape; output color is a consistent function of input color.
task017,17,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,21x21:266,21x21:266,0123456789,123456789,,"[0,1,2,3,4,5,6,7,8,9]","[1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":6,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",12514,,0.961602,1016,26460,1.0,14860,14860,Output preserves input and adds missing pattern cells.
task018,18,mask_object_selection,low,same_shape_nonlocal_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,24x24:10;23x23:9;23x22:8;24x23:7;20x22:7,24x24:10;23x23:9;23x22:8;24x23:7;20x22:7,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":0,""2"":0,""3"":0,""4"":4,""5"":0,""6"":6,""7"":0,""8"":0,""9"":0}",3944,,0.973284,609,22795,0.250804,2325,5820,"Same shape; cells/objects are kept, removed, or highlighted."
task019,19,expansion_tiling,medium,shape_expands|new_output_colors,4,1,262,267,expands,0,267,0,0,6x4:20;4x2:15;6x3:15;3x4:13;6x5:13,12x8:20;8x4:15;12x6:15;6x8:13;12x10:13,012345679,0123456789,8,"[0,1,2,3,4,5,6,7,9]","[0,1,2,3,4,5,6,7,8,9]",[8],False,False,,1,,0.0,0,0,0.0,0,0,"Output is larger than input, often by fixed scale or tiling."
task020,20,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,10x10:266,10x10:266,012348,012348,,"[0,1,2,3,4,8]","[0,1,2,3,4,8]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""8"":8}",798,,0.960833,235,6000,1.0,798,798,Output preserves input and adds missing pattern cells.
task021,21,cropping_extraction,medium,shape_shrinks,3,1,262,266,shrinks,0,0,266,0,21x11:3;15x15:2;37x34:2;14x27:2;23x20:2,2x6:13;6x3:13;4x2:12;7x2:12;2x2:10,123456789,123456789,,"[1,2,3,4,5,6,7,8,9]","[1,2,3,4,5,6,7,8,9]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task022,22,cropping_extraction,medium,shape_shrinks,3,1,262,266,shrinks,0,0,266,0,11x11:266,3x3:266,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task023,23,mask_object_selection,low,same_shape_nonlocal_changes|new_output_colors,3,1,262,266,same_shape_variable_size,266,0,0,0,9x9:52;8x10:47;8x9:46;9x11:44;8x11:41,9x9:52;8x10:47;8x9:46;9x11:44;8x11:41,05,028,28,"[0,5]","[0,2,8]","[2,8]",False,False,"{""0"":0,""5"":8}",2463,,0.956796,219,5069,0.0,0,5263,"Same shape; cells/objects are kept, removed, or highlighted."
task024,24,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,13x7:7;14x10:7;7x6:7;7x14:6;11x8:6,13x7:7;14x10:7;7x6:7;7x14:6;11x8:6,0123,0123,,"[0,1,2,3]","[0,1,2,3]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3}",10100,,0.713652,1936,6761,1.0,10100,10100,Output preserves input and adds missing pattern cells.
task025,25,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,25x16:4;20x17:4;17x23:4;30x23:4;15x14:3,25x16:4;20x17:4;17x23:4;30x23:4;15x14:3,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":0,""2"":0,""3"":3,""4"":4,""5"":5,""6"":6,""7"":0,""8"":0,""9"":0}",10466,,0.988641,307,27027,0.910328,1064,2534,Output preserves input and adds missing pattern cells.
task026,26,cropping_extraction,medium,shape_shrinks|new_output_colors,5,1,262,268,shrinks,0,0,268,0,5x7:268,5x3:268,019,08,8,"[0,1,9]","[0,8]",[8],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task027,27,fill_enclosed_regions,medium,adds_new_color_preserves_input|new_output_colors,3,1,261,265,same_shape_variable_size,265,0,0,0,10x10:265,10x10:265,01,012,2,"[0,1]","[0,1,2]",[2],False,False,"{""0"":0,""1"":1}",1260,,0.9515,291,6000,1.0,1260,1260,Same shape; input is mostly preserved while new fill or marking cells are added.
task028,28,pattern_completion,low,mostly_preserves_input_adds_or_changes,2,1,262,265,same_shape_variable_size,265,0,0,0,10x10:265,10x10:265,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":6,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",24395,,0.245167,4529,6000,1.0,13250,13250,Output preserves input and adds missing pattern cells.
task029,29,cropping_extraction,medium,shape_shrinks,3,1,262,266,shrinks,0,0,266,0,18x15:5;25x12:4;20x13:4;22x19:4;24x11:4,8x9:4;1x6:4;10x2:4;16x1:4;11x14:4,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task030,30,mask_object_selection,low,same_shape_nonlocal_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,10x10:145;5x10:121,10x10:145;5x10:121,0124,0124,,"[0,1,2,4]","[0,1,2,4]",[],False,False,"{""0"":0,""1"":1,""2"":0,""4"":4}",2851,,0.884681,542,4700,0.574805,1583,3166,"Same shape; cells/objects are kept, removed, or highlighted."
task031,31,cropping_extraction,medium,shape_shrinks,3,1,262,266,shrinks,0,0,266,0,10x12:95;12x12:89;11x12:82,4x5:43;5x5:35;5x4:33;4x6:25;4x4:22,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task032,32,mask_object_selection,low,same_shape_nonlocal_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,4x4:95;6x6:88;5x5:83,4x4:95;6x6:88;5x5:83,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":0,""3"":0,""4"":0,""5"":0,""6"":0,""7"":7,""8"":0,""9"":0}",2070,,0.879605,183,1520,0.44004,1130,2260,"Same shape; cells/objects are kept, removed, or highlighted."
task033,33,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,261,265,same_shape_variable_size,265,0,0,0,17x17:265,17x17:265,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",11880,,0.82699,3000,17340,1.0,11880,11880,Output preserves input and adds missing pattern cells.
task034,34,mask_object_selection,low,same_shape_nonlocal_changes,4,1,262,267,same_shape_variable_size,267,0,0,0,9x9:267,9x9:267,0123456789,013456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":4,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",4915,,0.842181,767,4860,0.5,4445,4979,"Same shape; cells/objects are kept, removed, or highlighted."
task035,35,mask_object_selection,low,same_shape_nonlocal_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,10x10:266,10x10:266,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":9,""9"":9}",2615,,0.9355,387,6000,0.695293,0,1217,"Same shape; cells/objects are kept, removed, or highlighted."
task036,36,cropping_extraction,medium,shape_shrinks,2,1,262,265,shrinks,0,0,265,0,30x30:265,5x4:38;4x3:36;5x3:32;3x5:30;4x5:29,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task037,37,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,10x10:266,10x10:266,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",2252,,0.911667,530,6000,1.0,2252,2252,Output preserves input and adds missing pattern cells.
task038,38,cropping_extraction,medium,shape_shrinks,3,1,262,266,shrinks,0,0,266,0,9x9:266,1x5:266,012,01,,"[0,1,2]","[0,1]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task039,39,cropping_extraction,medium,shape_shrinks,2,1,261,264,shrinks,0,0,264,0,10x10:264,3x3:264,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task040,40,mask_object_selection,low,same_shape_nonlocal_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,10x10:266,10x10:266,0123456789,012456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":2,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",1431,,0.964667,212,6000,0.764697,0,1637,"Same shape; cells/objects are kept, removed, or highlighted."
task041,41,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,10x10:266,10x10:266,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",2748,,0.959667,242,6000,1.0,2748,2748,Output preserves input and adds missing pattern cells.
task042,42,fill_enclosed_regions,medium,adds_new_color_preserves_input|new_output_colors,3,1,262,266,same_shape_variable_size,266,0,0,0,10x10:266,10x10:266,03,038,8,"[0,3]","[0,3,8]",[8],False,False,"{""0"":0,""3"":3}",1071,,0.948667,308,6000,1.0,1071,1071,Same shape; input is mostly preserved while new fill or marking cells are added.
task043,43,fill_enclosed_regions,medium,adds_new_color_preserves_input|new_output_colors,3,1,262,266,same_shape_variable_size,266,0,0,0,10x10:266,10x10:266,05,025,2,"[0,5]","[0,2,5]",[2],False,False,"{""0"":0,""5"":5}",5392,,0.799167,1205,6000,1.0,5392,5392,Same shape; input is mostly preserved while new fill or marking cells are added.
task044,44,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,10x10:266,10x10:266,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":0,""2"":0,""3"":0,""4"":4,""5"":5,""6"":0,""7"":7,""8"":0,""9"":0}",4063,,0.908833,547,6000,0.80543,2544,5088,Output preserves input and adds missing pattern cells.
task045,45,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,261,265,same_shape_variable_size,265,0,0,0,10x10:265,10x10:265,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",2024,,0.9085,549,6000,1.0,2024,2024,Output preserves input and adds missing pattern cells.
task046,46,cropping_extraction,medium,shape_shrinks,4,1,262,267,shrinks,0,0,267,0,3x12:42;3x14:42;3x11:35;3x16:30;3x17:27,3x9:54;3x11:44;3x10:37;3x13:30;3x8:29,0123456789,012346789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,6,7,8,9]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task047,47,fill_enclosed_regions,medium,adds_new_color_preserves_input|new_output_colors,2,1,262,265,same_shape_variable_size,265,0,0,0,9x9:265,9x9:265,078,0278,2,"[0,7,8]","[0,2,7,8]",[2],False,False,"{""0"":0,""7"":7,""8"":8}",7950,,0.71893,1366,4860,1.0,7950,7950,Same shape; input is mostly preserved while new fill or marking cells are added.
task048,48,cropping_extraction,medium,shape_shrinks,6,2,262,270,shrinks,0,0,270,0,7x5:24;5x5:21;6x7:21;8x5:20;8x7:20,1x1:270,028,08,,"[0,2,8]","[0,8]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task049,49,cropping_extraction,medium,shape_shrinks,5,1,262,268,shrinks,0,0,268,0,11x10:7;18x14:6;17x14:6;18x12:6;15x11:5,3x2:25;2x2:24;2x3:20;2x4:16;3x3:15,0123456789,123456789,,"[0,1,2,3,4,5,6,7,8,9]","[1,2,3,4,5,6,7,8,9]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task050,50,fill_enclosed_regions,medium,adds_new_color_preserves_input|new_output_colors,8,1,262,271,same_shape_variable_size,271,0,0,0,14x7:6;11x5:6;10x4:5;8x12:5;3x5:5,14x7:6;11x5:6;10x4:5;8x12:5;3x5:5,08,038,3,"[0,8]","[0,3,8]",[3],False,False,"{""0"":0,""8"":8}",1289,,0.922996,365,4740,1.0,1289,1289,Same shape; input is mostly preserved while new fill or marking cells are added.
task051,51,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,261,265,same_shape_variable_size,265,0,0,0,14x18:8;19x15:7;15x12:6;11x17:5;18x16:5,14x18:8;19x15:7;15x12:6;11x17:5;18x16:5,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",1490,,0.971952,375,13370,1.0,1490,1490,Output preserves input and adds missing pattern cells.
task052,52,mask_object_selection,low,same_shape_nonlocal_changes|new_output_colors,4,1,262,267,same_shape_variable_size,267,0,0,0,3x3:267,3x3:267,12346789,05,05,"[1,2,3,4,6,7,8,9]","[0,5]","[0,5]",False,False,"{""1"":5,""2"":0,""3"":0,""4"":5,""6"":5,""7"":0,""8"":5,""9"":0}",1178,,0.988889,6,540,0.0,0,2403,"Same shape; cells/objects are kept, removed, or highlighted."
task053,53,same_shape_local_rule,medium,local_3x3_consistent,4,2,54,60,same_shape_variable_size,60,0,0,0,3x3:60,3x3:60,012,012,,"[0,1,2]","[0,1,2]",[],False,False,"{""0"":1,""1"":0,""2"":0}",342,,1.0,0,540,0.16129,130,260,Same shape; output appears explainable by local neighborhoods.
task054,54,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,30x30:266,30x30:266,123456789,123456789,,"[1,2,3,4,5,6,7,8,9]","[1,2,3,4,5,6,7,8,9]",[],False,False,"{""1"":1,""2"":8,""3"":8,""4"":1,""5"":8,""6"":8,""7"":7,""8"":8,""9"":9}",156301,,0.92513,4043,54000,0.914929,0,20366,Output preserves input and adds missing pattern cells.
task055,55,fill_enclosed_regions,medium,adds_new_color_preserves_input|new_output_colors,2,1,262,265,same_shape_variable_size,265,0,0,0,22x18:5;15x14:5;19x11:4;20x22:4;22x14:4,22x18:5;15x14:5;19x11:4;20x22:4;22x14:4,08,0123468,12346,"[0,8]","[0,1,2,3,4,6,8]","[1,2,3,4,6]",False,False,"{""0"":0,""8"":8}",40288,,0.509598,10423,21254,1.0,40288,40288,Same shape; input is mostly preserved while new fill or marking cells are added.
task056,56,cropping_extraction,medium,shape_shrinks,7,3,36,46,shrinks,0,0,46,0,3x3:46,1x1:46,0123456789,1236,,"[0,1,2,3,4,5,6,7,8,9]","[1,2,3,6]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task057,57,cropping_extraction,medium,shape_shrinks,3,1,261,265,shrinks,0,0,265,0,8x8:265,3x6:265,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task058,58,mask_object_selection,low,same_shape_nonlocal_changes|new_output_colors,5,1,16,22,same_shape_variable_size,22,0,0,0,6x6:2;8x8:2;15x15:2;13x13:2;10x10:2,6x6:2;8x8:2;15x15:2;13x13:2;10x10:2,0,03,3,[0],"[0,3]",[3],False,False,"{""0"":3}",1614,,0.570516,1614,3758,0.0,2144,2144,"Same shape; cells/objects are kept, removed, or highlighted."
task059,59,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,11x11:266,11x11:266,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":0,""2"":0,""3"":0,""4"":4,""5"":5,""6"":0,""7"":7,""8"":8,""9"":9}",5925,,0.902066,711,7260,0.859555,3918,5981,Output preserves input and adds missing pattern cells.
task060,60,fill_enclosed_regions,medium,adds_new_color_preserves_input|new_output_colors,2,1,262,265,same_shape_variable_size,265,0,0,0,5x11:265,5x11:265,012346789,0123456789,5,"[0,1,2,3,4,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[5],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""6"":6,""7"":7,""8"":8,""9"":9}",4095,,0.792121,686,3300,1.0,4095,4095,Same shape; input is mostly preserved while new fill or marking cells are added.
task061,61,pattern_completion,low,mostly_preserves_input_adds_or_changes,4,1,262,267,same_shape_variable_size,267,0,0,0,18x18:267,18x18:267,0123456789,123456789,,"[0,1,2,3,4,5,6,7,8,9]","[1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":1,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",7206,,0.966512,651,19440,1.0,11265,11265,Output preserves input and adds missing pattern cells.
task062,62,mask_object_selection,low,same_shape_nonlocal_changes|new_output_colors,4,1,262,267,same_shape_variable_size,267,0,0,0,10x10:267,10x10:267,012456789,13456789,3,"[0,1,2,4,5,6,7,8,9]","[1,3,4,5,6,7,8,9]",[3],False,False,"{""0"":3,""1"":1,""2"":4,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",1405,,0.966333,202,6000,0.735655,24661,25200,"Same shape; cells/objects are kept, removed, or highlighted."
task063,63,fill_enclosed_regions,medium,adds_new_color_preserves_input|new_output_colors,3,1,262,266,same_shape_variable_size,266,0,0,0,14x14:93;10x10:87;12x12:86,14x14:93;10x10:87;12x12:86,028,0238,3,"[0,2,8]","[0,2,3,8]",[3],False,False,"{""0"":0,""2"":2,""8"":8}",8094,,0.777271,2001,8984,1.0,8094,8094,Same shape; input is mostly preserved while new fill or marking cells are added.
